Distance_km,Travel_Time_min,Avg_Speed_kmh,Traffic_Level,Vehicle_Type,Fuel_Type,CO2_Emission_kg
26.8,65.4,24.6,High,Sedan,Petrol,7.53
3,5.8,31,Moderate,SUV,Petrol,0.88
24.9,25.5,58.5,Low,Hatchback,Diesel,3.36
4,4.4,54.9,Low,Hatchback,Petrol,0.66
4.6,6,45.8,Low,SUV,Petrol,1.23
17.8,33.8,31.6,Moderate,Sedan,Diesel,3.34
18.7,30.4,36.9,Moderate,Motorcycle,Petrol,1.86
14,37.5,22.4,High,Motorcycle,Petrol,1.73
6.9,8.4,49.1,Low,Sedan,Petrol,1.29
48.3,74.1,39.1,Moderate,Hatchback,Diesel,8.09
17.7,58.4,18.2,High,Sedan,Petrol,4.76
14.2,16.6,51.4,Low,SUV,Petrol,3.56
21,76.8,16.4,High,Hatchback,Diesel,4.36
15.9,27.3,34.9,Moderate,Hatchback,Petrol,2.99
18.7,38,29.5,High,Sedan,Petrol,4.7
7.3,13.9,31.6,Moderate,SUV,Petrol,2.25
18.1,36.7,29.6,High,SUV,Petrol,6.26
9.4,29.7,19,High,Hatchback,Diesel,1.86
2,5.1,23.5,High,Sedan,Petrol,0.55
8,13.2,36.3,Moderate,Hatchback,Petrol,1.51
15.7,20.6,45.8,Low,Hatchback,Petrol,2.56
7.3,12,36.6,Moderate,Hatchback,Diesel,1.13
4.3,11.6,22.3,High,SUV,Petrol,1.59
10.1,18.3,33.2,Moderate,Hatchback,Petrol,1.83
8,9.5,50.7,Low,SUV,Petrol,2.15
21.1,81.2,15.6,High,Hatchback,Diesel,4.4
15.7,44.2,21.3,High,Hatchback,Petrol,3.55
29.3,61,28.8,High,Hatchback,Diesel,5.25
15.2,26.3,34.7,Moderate,Hatchback,Petrol,2.72
11.1,15.3,43.6,Moderate,Hatchback,Diesel,1.76
23.5,29.4,48,Low,Sedan,Diesel,4.06
8.2,11.9,41.3,Moderate,SUV,Petrol,2.44
16.4,35.1,28,High,Sedan,Petrol,3.91
4.4,8.6,30.8,Moderate,Sedan,Petrol,0.96
8.7,9,58,Low,Motorcycle,Petrol,0.79
14.6,20.9,41.9,Moderate,Motorcycle,Petrol,1.44
29.8,48.2,37.1,Moderate,Hatchback,Petrol,5.29
25.2,66.9,22.6,High,Hatchback,Petrol,5.76
6.2,7.4,50.6,Low,Hatchback,Petrol,0.98
17.9,67.1,16,High,Hatchback,Diesel,3.52
16.6,72.7,13.7,Severe,Hatchback,Petrol,4.64
9.7,27.8,20.9,High,Sedan,Diesel,2.33
8.3,19.8,25.1,High,SUV,Diesel,2.44
16.5,28,35.4,Moderate,Hatchback,Petrol,2.96
27.3,51,32.1,Moderate,Hatchback,Diesel,4.24
18.4,70.8,15.6,High,Hatchback,Diesel,3.57
3.3,7.4,26.6,High,SUV,Petrol,1.12
7.4,12.1,36.7,Moderate,Hatchback,Diesel,1.19
13.1,35.7,22,High,SUV,Petrol,5.12
46.5,78.2,35.7,Moderate,Sedan,Diesel,9.42
22.1,33.5,39.6,Moderate,Motorcycle,Petrol,2.31
8.8,27.4,19.3,High,SUV,Petrol,3.42
5.5,45.8,7.2,Severe,Sedan,Petrol,1.8
6,8,44.9,Moderate,Hatchback,Petrol,1.1
29.7,104.2,17.1,High,Hatchback,Diesel,6.09
7.6,15.1,30.1,Moderate,Hatchback,Petrol,1.45
17.3,32.7,31.7,Moderate,Hatchback,Petrol,3.05
8.4,15.9,31.7,Moderate,Motorcycle,Petrol,0.88
6.1,11.4,32.2,Moderate,Sedan,Petrol,1.3
7.3,7.3,59.6,Low,Hatchback,Petrol,1.17
48.9,79.1,37.1,Moderate,Sedan,Diesel,9.36
8.3,12.1,41,Moderate,Sedan,Diesel,1.59
2.4,3.4,42.2,Moderate,Hatchback,Diesel,0.37
16.3,61.5,15.9,High,SUV,Petrol,5.97
3.6,3.7,59,Low,Sedan,Diesel,0.61
8,9.5,50.4,Low,SUV,Diesel,1.73
4.9,11.3,26.1,High,Motorcycle,Petrol,0.57
47.4,64.8,43.9,Moderate,Sedan,Diesel,9.07
6.8,17.6,23.2,High,Hatchback,Petrol,1.59
6.8,10.1,40.3,Moderate,Hatchback,Petrol,1.24
10,13.4,44.7,Moderate,Motorcycle,Petrol,0.95
13.6,32.4,25.2,High,Motorcycle,Petrol,1.55
17.8,23.2,46,Low,SUV,Petrol,4.57
16.1,33.1,29.2,High,Hatchback,Diesel,2.98
14,44.9,18.7,High,Hatchback,Diesel,2.82
6.5,11.5,33.9,Moderate,Sedan,Diesel,1.25
27.4,28.4,57.8,Low,Sedan,Diesel,4.63
7.5,22.7,19.8,High,Hatchback,Petrol,1.73
32.8,68.1,28.9,High,Sedan,Diesel,7.32
3.6,3.8,56.9,Low,Hatchback,Petrol,0.57
28.3,104.2,16.3,High,Hatchback,Diesel,5.82
17.7,66,16.1,High,Motorcycle,Petrol,2.32
7.4,10.3,43.2,Moderate,SUV,Petrol,2.05
45.8,490.7,5.6,Severe,Hatchback,Petrol,12.84
7.7,10.5,44.1,Moderate,Motorcycle,Petrol,0.79
7.1,13.4,31.9,Moderate,Hatchback,Petrol,1.31
9.5,10.4,54.9,Low,SUV,Petrol,2.55
18.3,24,45.7,Low,Sedan,Petrol,3.53
14.2,37.9,22.5,High,Sedan,Petrol,4.06
18,55.4,19.5,High,Hatchback,Petrol,4.11
12,36.5,19.7,High,SUV,Diesel,3.93
38.3,59.8,38.4,Moderate,Hatchback,Petrol,6.91
2.8,4.7,35.8,Moderate,Sedan,Petrol,0.64
4.6,8,34.7,Moderate,SUV,Petrol,1.38
13.1,13.3,59.2,Low,Sedan,Diesel,2.16
2.4,3.3,43.2,Moderate,SUV,Petrol,0.69
26.5,61.4,25.9,High,SUV,Petrol,8.95
11.9,23,31.1,Moderate,Sedan,Diesel,2.29
52,52.3,59.6,Low,Hatchback,Diesel,7.16
31.3,35.7,52.6,Low,Sedan,Petrol,5.73
5.8,8.9,39.1,Moderate,Sedan,Petrol,1.29
9.9,30.5,19.5,High,Hatchback,Diesel,2
13,38,20.5,High,SUV,Diesel,4.15
17.3,67.4,15.4,High,Sedan,Diesel,4.35
15.8,39.8,23.8,High,Hatchback,Petrol,3.68
22.2,85.9,15.5,High,Motorcycle,Petrol,2.76
4.5,4.9,55.4,Low,Sedan,Diesel,0.8
31,39.5,47.1,Low,Hatchback,Petrol,5.04
13.1,13.4,58.7,Low,Hatchback,Petrol,2.15
16.4,40.7,24.2,High,Hatchback,Petrol,3.79
9.8,17.1,34.3,Moderate,Hatchback,Diesel,1.56
9.5,29.8,19.1,High,Hatchback,Diesel,1.89
55.5,256.2,13,Severe,Hatchback,Petrol,16.44
5.5,8.9,37.2,Moderate,Hatchback,Petrol,1.06
11.4,28.7,23.8,High,Hatchback,Diesel,2.3
10.5,15.4,40.8,Moderate,Hatchback,Diesel,1.54
19.3,26.3,44,Moderate,Motorcycle,Petrol,1.91
9.7,14.7,39.7,Moderate,Motorcycle,Petrol,0.97
15.4,31.8,29.1,High,Motorcycle,Petrol,1.76
22.6,90.4,15,Severe,Hatchback,Petrol,6.29
58.2,231.3,15.1,High,Sedan,Petrol,16.66
9.9,15.9,37.4,Moderate,Motorcycle,Petrol,1.07
11.9,15.1,47.4,Low,Sedan,Petrol,2.19
17.9,25.9,41.4,Moderate,Hatchback,Diesel,2.87
27.7,30.2,55,Low,Hatchback,Petrol,4.35
4.1,6,41.3,Moderate,Motorcycle,Petrol,0.4
10.1,23.9,25.4,High,Hatchback,Petrol,2.08
6,14.1,25.6,High,Hatchback,Petrol,1.31
6.9,12.9,32,Moderate,Hatchback,Diesel,1.13
6.4,10.1,38.1,Moderate,SUV,Petrol,1.87
18.7,21.7,51.7,Low,SUV,Petrol,4.89
6.4,9.9,38.6,Moderate,Hatchback,Petrol,1.19
3.6,6.9,31.4,Moderate,Sedan,Diesel,0.7
14.6,16.9,51.9,Low,SUV,Diesel,3.18
31.2,61,30.7,Moderate,Hatchback,Petrol,6.05
21,237.7,5.3,Severe,Sedan,Diesel,6.64
51.1,68.3,44.9,Moderate,Hatchback,Diesel,8.19
7.5,19.5,23.1,High,SUV,Petrol,2.71
15.3,50.2,18.3,High,Hatchback,Petrol,3.45
15.4,21.8,42.4,Moderate,Hatchback,Petrol,2.65
30.9,32.5,57.1,Low,Sedan,Diesel,5.45
3.6,4.7,45.5,Low,Sedan,Diesel,0.58
14,25.2,33.3,Moderate,Motorcycle,Petrol,1.39
12.9,29.8,26,High,Hatchback,Petrol,2.76
4.4,4.8,54.9,Low,Hatchback,Petrol,0.67
33.2,176.3,11.3,Severe,Sedan,Petrol,11.97
30.1,91.2,19.8,High,Sedan,Petrol,8.12
14.7,45.2,19.5,High,SUV,Diesel,4.84
19.7,36.9,32,Moderate,Hatchback,Petrol,3.69
32.7,35.1,55.9,Low,Hatchback,Petrol,5.32
18.7,19.9,56.4,Low,SUV,Petrol,4.85
25,288.5,5.2,Severe,Motorcycle,Petrol,4.27
10,17.9,33.6,Moderate,Sedan,Petrol,2.29
17.8,28.1,38,Moderate,Hatchback,Petrol,3.29
11,68,9.7,Severe,SUV,Diesel,4.33
6.5,12.1,32.2,Moderate,Hatchback,Diesel,1.06
3.2,5.4,35.7,Moderate,SUV,Petrol,0.98
12.6,25.6,29.5,High,Sedan,Petrol,3.04
11.7,31.5,22.3,High,Motorcycle,Petrol,1.52
10.6,11,57.7,Low,Motorcycle,Petrol,0.97
14.1,45.7,18.5,High,SUV,Petrol,5.27
6.9,17.1,24.2,High,Sedan,Petrol,1.79
10.1,17.8,34.1,Moderate,Motorcycle,Petrol,1
30.1,63.1,28.6,High,Hatchback,Petrol,6.1
6.2,19.6,19,High,Hatchback,Petrol,1.41
19.9,29.6,40.3,Moderate,SUV,Diesel,4.99
10.9,17.1,38.3,Moderate,Hatchback,Petrol,1.95
14.3,36.5,23.5,High,Motorcycle,Petrol,1.78
10.4,14.5,43,Moderate,Motorcycle,Petrol,1.03
2.6,11.1,14,Severe,Sedan,Petrol,0.93
9.7,14.1,41.3,Moderate,SUV,Petrol,2.66
3.9,11.2,20.8,High,Motorcycle,Petrol,0.5
11.4,56.1,12.2,Severe,Sedan,Diesel,3.36
8.7,12.6,41.5,Moderate,Motorcycle,Petrol,0.85
10.3,13.8,44.9,Moderate,Sedan,Petrol,2.25
7.4,27.2,16.3,High,Sedan,Diesel,1.85
3.2,7.8,24.5,High,SUV,Petrol,1.15
4.5,7.9,34,Moderate,Hatchback,Petrol,0.83
14.1,16.8,50.3,Low,Hatchback,Petrol,2.22
4.3,8.2,31.3,Moderate,Motorcycle,Petrol,0.47
49.3,58.3,50.7,Low,Hatchback,Petrol,7.88
5.5,8.8,37.3,Moderate,Hatchback,Petrol,0.99
15.9,20.5,46.6,Low,Hatchback,Diesel,2.19
18,30.9,35,Moderate,SUV,Diesel,4.79
4.6,39.4,7,Severe,Hatchback,Diesel,1.22
7.6,11.8,38.6,Moderate,Hatchback,Petrol,1.45
2.9,4.5,38.9,Moderate,Sedan,Diesel,0.57
46.5,129.2,21.6,High,Hatchback,Diesel,9.66
14.1,21.4,39.5,Moderate,Hatchback,Diesel,2.33
10.7,65.5,9.8,Severe,Sedan,Petrol,3.84
15.4,45.3,20.4,High,Motorcycle,Petrol,2
10.8,26,24.9,High,Hatchback,Petrol,2.37
51.9,75.4,41.3,Moderate,Motorcycle,Petrol,5.1
4.1,6.5,37.8,Moderate,Sedan,Petrol,0.89
8.2,13.1,37.5,Moderate,Hatchback,Petrol,1.46
9.7,9.8,59.1,Low,Hatchback,Petrol,1.55
5.9,9.7,36.6,Moderate,SUV,Petrol,1.74
21.7,52.7,24.7,High,SUV,Petrol,8.5
3.4,3.8,53.4,Low,Motorcycle,Petrol,0.3
3.5,9.8,21.5,High,Hatchback,Petrol,0.78
13.9,46.1,18.1,High,SUV,Diesel,4.2
9,10.8,49.9,Low,Sedan,Petrol,1.77
16.4,25.1,39.2,Moderate,Sedan,Petrol,3.72
18.1,55.7,19.5,High,Sedan,Petrol,4.76
4.4,4.8,55.4,Low,Sedan,Petrol,0.81
3.5,8.3,25.4,High,Sedan,Diesel,0.79
11.4,18.6,36.8,Moderate,Hatchback,Petrol,2
8.5,50.5,10.1,Severe,Sedan,Diesel,2.6
27.3,36,45.5,Low,SUV,Petrol,6.94
11.7,17.1,41.1,Moderate,SUV,Petrol,3.22
8.2,24,20.5,High,SUV,Petrol,3.13
19.9,20.8,57.5,Low,SUV,Petrol,5.43
4.8,13.3,21.6,High,Motorcycle,Petrol,0.64
8.5,14.4,35.3,Moderate,SUV,Petrol,2.47
3.7,7.2,30.9,Moderate,Hatchback,Petrol,0.69
7.6,13.4,34,Moderate,Motorcycle,Petrol,0.83
11,51.2,12.9,Severe,Motorcycle,Petrol,1.88
21.9,70.3,18.7,High,SUV,Diesel,7.11
14.9,26.3,34,Moderate,Sedan,Petrol,3.31
21.4,37.5,34.2,Moderate,Motorcycle,Petrol,2.2
43.2,45.8,56.6,Low,SUV,Diesel,9.46
13.6,15.4,53,Low,Hatchback,Petrol,2.11
8.6,13.3,38.7,Moderate,Sedan,Petrol,1.86
10.5,11.1,56.8,Low,Sedan,Petrol,2.07
2,17.1,7,Severe,SUV,Petrol,0.96
9.5,14.3,39.8,Moderate,Hatchback,Petrol,1.83
5.2,7.7,40.5,Moderate,Hatchback,Diesel,0.82
5.8,7.2,48.4,Low,SUV,Petrol,1.54
34.8,65.2,32,Moderate,Hatchback,Petrol,6.58
4.5,15.8,17.1,High,SUV,Diesel,1.37
38.6,76.9,30.1,Moderate,SUV,Petrol,11.85
11.5,17.1,40.3,Moderate,Motorcycle,Petrol,1.09
8,13.4,35.8,Moderate,Motorcycle,Petrol,0.82
4.2,4.7,53.3,Low,Sedan,Petrol,0.82
18.5,56.9,19.5,High,Sedan,Petrol,5.18
2.4,4.9,29.3,High,Sedan,Petrol,0.6
15.3,61.6,14.9,Severe,Motorcycle,Petrol,2.4
28.5,42.5,40.2,Moderate,SUV,Diesel,7.08
2.5,4.9,30.6,Moderate,Hatchback,Diesel,0.4
15,22.2,40.5,Moderate,Hatchback,Petrol,2.67
4.5,8.2,33,Moderate,SUV,Petrol,1.34
18.3,68.6,16,High,SUV,Diesel,5.99
2.7,4.4,36.8,Moderate,Sedan,Petrol,0.61
11.2,26.4,25.5,High,Hatchback,Diesel,2.06
17.2,22,46.9,Low,SUV,Petrol,4.64
10.3,32.4,19.1,High,Hatchback,Diesel,2.09
5.6,9,37.5,Moderate,Sedan,Petrol,1.2
6.6,21.5,18.4,High,Sedan,Petrol,1.87
5.8,10.8,32.3,Moderate,Motorcycle,Petrol,0.62
19.1,53.8,21.3,High,Hatchback,Petrol,4.49
2.6,4.2,37.5,Moderate,Motorcycle,Petrol,0.26
34.7,365.3,5.7,Severe,Sedan,Petrol,12.36
6.4,8,48,Low,Sedan,Petrol,1.23
15.9,22.9,41.6,Moderate,Hatchback,Diesel,2.51
2.1,3.8,33.5,Moderate,Hatchback,Diesel,0.35
35,75.8,27.7,High,SUV,Petrol,11.98
5.9,5.9,60,Low,SUV,Petrol,1.6
27.8,81,20.6,High,Motorcycle,Petrol,3.45
3.1,11.6,16.1,High,Sedan,Petrol,0.89
4.1,5.9,42,Moderate,SUV,Diesel,0.97
2.6,3.7,41.7,Moderate,Sedan,Petrol,0.53
14.1,19,44.5,Moderate,Hatchback,Petrol,2.42
3.3,7.2,27.4,High,SUV,Petrol,1.16
2.7,4.6,35.3,Moderate,Sedan,Diesel,0.52
35.8,58.4,36.8,Moderate,SUV,Petrol,10.71
22.1,23.1,57.5,Low,Motorcycle,Petrol,1.92
25.6,62.2,24.7,High,Sedan,Petrol,7.21
2.5,16,9.4,Severe,Hatchback,Diesel,0.66
2.3,4.2,32.5,Moderate,Sedan,Diesel,0.45
7.5,9.3,48.2,Low,Hatchback,Petrol,1.25
7,12.2,34.4,Moderate,Sedan,Petrol,1.47
3.1,3.2,58.3,Low,Sedan,Petrol,0.61
19.9,58.5,20.4,High,Sedan,Petrol,5.66
13.9,16.7,49.8,Low,Hatchback,Diesel,2
9.9,14.3,41.5,Moderate,Motorcycle,Petrol,1.03
7.3,10.4,42.2,Moderate,Motorcycle,Petrol,0.69
40.5,90,27,High,Hatchback,Diesel,7.7
6.7,15.8,25.5,High,Motorcycle,Petrol,0.75
19.5,30.5,38.4,Moderate,Hatchback,Diesel,3.27
13.1,25,31.4,Moderate,Hatchback,Petrol,2.43
9.3,17.4,32,Moderate,SUV,Diesel,2.44
2.2,3,43.8,Moderate,SUV,Diesel,0.55
44.3,295.3,9,Severe,Hatchback,Petrol,12.38
9.6,19.6,29.4,High,Sedan,Petrol,2.51
19.3,63.3,18.3,High,Sedan,Petrol,5.17
11.3,23.2,29.2,High,Motorcycle,Petrol,1.32
59.1,65.7,54,Low,Motorcycle,Petrol,5.57
6.5,60.9,6.4,Severe,SUV,Petrol,3.21
9.1,9.8,55.6,Low,Sedan,Diesel,1.54
4,4.9,48.8,Low,Hatchback,Petrol,0.63
19.7,52.8,22.4,High,Hatchback,Petrol,4.35
18.6,44.1,25.3,High,Hatchback,Petrol,4.04
4.5,47.4,5.7,Severe,Hatchback,Petrol,1.34
19,21.2,53.9,Low,Sedan,Petrol,3.44
22.5,77.6,17.4,High,Hatchback,Petrol,5.01
17.2,54.3,19,High,Hatchback,Petrol,3.78
18.4,21.9,50.4,Low,Sedan,Petrol,3.55
12,15.1,47.6,Low,Hatchback,Petrol,1.99
5.2,7.8,39.9,Moderate,Hatchback,Petrol,0.93
25.5,45.1,33.9,Moderate,Sedan,Petrol,5.47
8,29.4,16.3,High,Hatchback,Petrol,1.93
15.5,34.1,27.3,High,Sedan,Petrol,4.01
18.8,36.2,31.2,Moderate,Motorcycle,Petrol,2
19,45.2,25.2,High,Sedan,Petrol,4.86
9.9,45.3,13.1,Severe,Hatchback,Petrol,3.01
10,21.8,27.5,High,Hatchback,Diesel,1.91
5.1,8.8,34.9,Moderate,Hatchback,Petrol,0.98
16.2,26.8,36.3,Moderate,Sedan,Petrol,3.59
19.4,109.8,10.6,Severe,Hatchback,Petrol,5.65
5.3,8.5,37.3,Moderate,Sedan,Petrol,1.14
6.9,26.5,15.6,High,Motorcycle,Petrol,0.88
8,34.3,14,Severe,Hatchback,Diesel,1.99
5.9,21.5,16.5,High,Motorcycle,Petrol,0.74
46.1,145.6,19,High,Sedan,Petrol,12.2
8.6,19.5,26.4,High,Motorcycle,Petrol,1.05
11.6,18.5,37.6,Moderate,Hatchback,Diesel,1.95
3.5,7.6,27.6,High,Hatchback,Petrol,0.77
12.7,33.7,22.6,High,Sedan,Petrol,3.31
6.8,7,58.1,Low,Sedan,Petrol,1.25
31.2,97,19.3,High,Hatchback,Petrol,7.23
56.4,134.3,25.2,High,Hatchback,Petrol,11.28
17.7,18.1,58.7,Low,Sedan,Petrol,3.2
8.4,11.3,44.5,Moderate,Sedan,Petrol,1.73
4,6,40.2,Moderate,SUV,Petrol,1.1
16.6,48.3,20.6,High,Sedan,Petrol,4.44
